name	cr	size	type	tags	alignment	environment	ac	hp	init	legendary?	unique?	sources
Red Abishai	19	Medium	Fiend	Devil	lawful evil	planar	22	255	3			Mordenkainen's Tome of Foes: 162
Red Dragon Wyrmling	4	Medium	Dragon		chaotic evil	mountain	17	75	0			Monster Manual: 98
Red Slaad	5	Large	Aberration		chaotic neutral	planar	14	93	1			Monster Manual: 276
Redcap	3	Small	Fey		chaotic evil	"forest, grassland, swamp"	13	45	1			Volo's Guide to Monsters: 188
Reef Shark	0.25	Medium	Beast		unaligned	aquatic	12	22	1			"Basic Rules v1: 42, Monster Manual: 336, Player's Handbook: 309"
Remorhaz	11	Huge	Monstrosity		unaligned	arctic	17	195	1			Monster Manual: 258
Retriever	14	Large	Construct		lawful evil	underground	19	210	3			Mordenkainen's Tome of Foes: 222
Revenant	5	Medium	Undead		neutral	"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, swamp, underground, urban"	13	136	2			"Monster Manual: 259, Princes of the Apocalypse Online Supplement v1.0: 29"
Rezmir	7	Medium	Humanoid	Half-black dragon	neutral evil		13	90	3		unique	Hoard of the Dragon Queen: 93
Rhinoceros	2	Large	Beast		unaligned	grassland	11	45	-1			"Basic Rules v1: 42, Monster Manual: 336"
Rictavio	5	Medium	Humanoid	Human	lawful good		12	77	1		unique	Curse of Strahd: 238
Riding Horse	0.5	Large	Beast		unaligned	urban	10	13	0			"Basic Rules v1: 42, Monster Manual: 336, Player's Handbook: 310"
Roc	11	Gargantuan	Monstrosity		unaligned	"coast, desert, mountain"	15	248	0			Monster Manual: 260
Roper	5	Large	Monstrosity		neutral evil	"cave, underground"	20	93	-1			"HotDQ supplement: 15, Monster Manual: 261, Princes of the Apocalypse Online Supplement v1.0: 30"
Rot Troll	9	Large	Giant		chaotic evil	"dungeon, forest, mountain, ruins, swamp"	16	138	1			Mordenkainen's Tome of Foes: 244
Rothe	0.5	Medium	Beast		unaligned	"grassland, underground"	10	13	0			Volo's Guide to Monsters: 208
Rug of Smothering	2	Large	Construct		unaligned	"dungeon, ruins, urban"	12	33	2			"HotDQ supplement: 16, Monster Manual: 20"
Rust Monster	0.25	Medium	Monstrosity		unaligned	"dungeon, underground"	14	27	1			"Monster Manual: 262, Princes of the Apocalypse Online Supplement v1.0: 30"
Rutterkin	2	Medium	Fiend	Demon	chaotic evil	planar	12	37	2			Mordenkainen's Tome of Foes: 136
Saber-Toothed Tiger	2	Large	Beast		unaligned	"forest, grassland"	12	52	2			"Basic Rules v1: 43, Monster Manual: 336"
Sacred Statue	0	Large	Construct		any	"dungeon, ruins"	19	95	-1			Mordenkainen's Tome of Foes: 194
Sacred Stone Monk	0.25	Medium	Humanoid	Human	lawful evil	"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, underground"	14	22	2			Princes of the Apocalypse: 196
Sahuagin	0.25	Medium	Humanoid	Sahuagin	lawful evil	"aquatic, coast"	12	22	0			Monster Manual: 263
Sahuagin Baron	5	Large	Humanoid	Sahuagin	lawful evil	"aquatic, coast"	16	76	2			Monster Manual: 264
Sahuagin Priestess	2	Medium	Humanoid	Sahuagin	lawful evil	"aquatic, coast"	12	33	0			Monster Manual: 264
Salamander	5	Large	Elemental		neutral evil	"forest, planar"	15	90	2			"Monster Manual: 266, Princes of the Apocalypse Online Supplement v1.0: 30"
Satyr	0.25	Medium	Fey		chaotic neutral	"forest, grassland, urban"	14	31	3			"Basic Rules v1: 43, Monster Manual: 267"
Scarecrow	1	Medium	Construct		chaotic evil	"grassland, urban"	11	36	1			Monster Manual: 268
Scorpion	0	Tiny	Beast		unaligned	"cave, desert, grassland, mountain, swamp"	11	1	0			"Basic Rules v1: 43, Monster Manual: 337"
Scout	0.25	Medium	Humanoid	any	any	"arctic, coast, desert, forest, grassland, mountain, swamp"	13	16	2			"HotDQ supplement: 16, Monster Manual: 349, Princes of the Apocalypse Online Supplement v1.0: 31"
Sea Hag	2	Medium	Fey		chaotic evil	"aquatic, coast, underground"	14	52	1			"Monster Manual: 179, Princes of the Apocalypse Online Supplement v1.0: 31"
Sea Hag (coven)	4	Medium	Fey		chaotic evil	"aquatic, coast, underground"	14	52	1			Monster Manual: 179
Sea Horse	0	Tiny	Beast		unaligned	aquatic	11	1	1			"Basic Rules v1: 43, Monster Manual: 337"
Sea Lion	5	Large	Monstrosity		unaligned		15	90	2			Tales from the Yawning Portal: 242
Sea Spawn	1	Medium	Humanoid		neutral evil	"coast, aquatic"	11	32	-1			Volo's Guide to Monsters: 189
Severin	11	Medium	Humanoid	Human	neutral evil		16	150	1	legendary	unique	Rise of Tiamat: 92
Shadow	0.25	Medium	Undead		chaotic evil	"dungeon, ruins, swamp, urban"	12	16	2			"Monster Manual: 269, Princes of the Apocalypse Online Supplement v1.0: 31"
Shadow Dancer	7	Medium	Humanoid	Elf	neutral	"planar, urban"	15	71	3			Mordenkainen's Tome of Foes: 225
Shadow Demon	4	Medium	Fiend	Demon	chaotic evil	"dungeon, planar"	13	66	3			"Monster Manual: 64, Princes of the Apocalypse Online Supplement v1.0: 32"
Shadow Mastiff	2	Medium	Monstrosity		neutral evil	"forest, grassland, swamp"	12	33	2			Volo's Guide to Monsters: 190
Shadow Mastiff Alpha	2	Medium	Monstrosity		neutral evil	"forest, grassland, swamp"	12	48	2			Volo's Guide to Monsters: 190
Shambling Mound	5	Large	Plant		unaligned	"forest, swamp"	15	136	-1			"HotDQ supplement: 16, Monster Manual: 270"
Sharwyn Hucrele	0.25	Medium	Humanoid	Human	neutral evil		16	13	1		unique	Tales from the Yawning Portal: 242
Shield Guardian	7	Large	Construct		unaligned	"dungeon, ruins, urban"	17	142	-1			"Monster Manual: 271, Princes of the Apocalypse Online Supplement v1.0: 32"
Shoalar Quanderil	4	Medium	Humanoid	Water genasi	chaotic evil		10	60	1		unique	Princes of the Apocalypse: 208
Shoosuva	8	Large	Fiend	Demon	chaotic evil	"arctic, forest, grassland"	14	110	1			Volo's Guide to Monsters: 137
Shrieker	0	Medium	Plant		unaligned	"cave, dungeon, swamp"	5	13	-5			Monster Manual: 138
Sibriex	18	Huge	Fiend	Demon	chaotic evil	planar	19	150	-4	legendary		Mordenkainen's Tome of Foes: 137
Silver Dragon Wyrmling	2	Medium	Dragon		lawful good	"arctic, mountain"	17	45	0			Monster Manual: 118
Sir Braford	0.25	Medium	Humanoid	Human	neutral evil		18	19	-1		unique	Tales from the Yawning Portal: 243
Siren	3	Medium	Fey		chaotic good		14	38	4			Tales from the Yawning Portal: 243
Skeleton	0.5	Medium	Undead		lawful evil	"dungeon, ruins, urban"	13	13	2			"Basic Rules v1: 43, Monster Manual: 272, Player's Handbook: 310"
Skulk	0.25	Medium	Humanoid		chaotic neutral	planar	14	18	4			Mordenkainen's Tome of Foes: 228
Skull Lord	15	Medium	Undead		lawful evil	"dungeon, ruins"	18	105	3			Mordenkainen's Tome of Foes: 230
Skyweaver	3	Medium	Humanoid	Human	chaotic evil	"arctic, cave, coast, desert, dungeon, grassland, mountain, ruins"	12	44	2			Princes of the Apocalypse: 191
Slaad Tadpole	0.125	Tiny	Aberration		chaotic neutral	planar	12	10	2			Monster Manual: 276
Slithering Tracker	3	Medium	Ooze		chaotic evil	"underground, urban"	14	32	4			Volo's Guide to Monsters: 191
Smoke Mephit	0.5	Small	Elemental		neutral evil	"dungeon, planar, urban"	12	2	2			"Monster Manual: 217, Princes of the Apocalypse Online Supplement v1.0: 32"
Solar	21	Large	Celestial		lawful good	planar	21	241	6	legendary		Monster Manual: 18
Soul Monger	11	Medium	Humanoid	Elf	neutral	"planar, urban"	15	123	3			Mordenkainen's Tome of Foes: 226
Spawn of Kyuss	5	Medium	Undead		chaotic evil	"desert, underground"	10	76	0			Volo's Guide to Monsters: 192
Spectator	3	Medium	Aberration		lawful neutral	"cave, dungeon, ruins, underground, urban"	14	39	2			"Basic Rules v1: 44, Monster Manual: 30"
Specter	1	Medium	Undead		chaotic evil	"dungeon, ruins, urban"	12	22	2			"HotDQ supplement: 17, Monster Manual: 279, Princes of the Apocalypse Online Supplement v1.0: 33"
Spider	0	Tiny	Beast		unaligned	"cave, coast, dungeon, forest, grassland, mountain, planar, ruins, swamp, underground"	12	1	2			"Basic Rules v1: 44, Monster Manual: 337"
Spined Devil	2	Small	Fiend	Devil	lawful evil	"dungeon, planar"	13	22	2			Monster Manual: 78
Spirit Naga	8	Large	Monstrosity		chaotic evil	"cave, dungeon, ruins, underground"	18	127	4			Monster Manual: 234
Spirit Troll	11	Large	Giant		chaotic evil	"dungeon, forest, mountain, ruins, swamp"	17	97	3			Mordenkainen's Tome of Foes: 244
Spring Eladrin	10	Medium	Fey	Elf	chaotic neutral	planar	19	127	3			Mordenkainen's Tome of Foes: 196
Sprite	0.5	Tiny	Fey		neutral good	"forest, grassland, swamp"	15	2	4			"Monster Manual: 283, Player's Handbook: 310, Princes of the Apocalypse Online Supplement v1.0: 33"
Spy	1	Medium	Humanoid	any	any	"arctic, cave, coast, desert, forest, grassland, mountain, ruins, swamp, urban"	12	27	2			"HotDQ supplement: 17, Monster Manual: 349, Princes of the Apocalypse Online Supplement v1.0: 33"
Star Spawn Grue	0.5	Small	Aberration		neutral evil	planar	11	17	1			Mordenkainen's Tome of Foes: 234
Star Spawn Hulk	10	Large	Aberration		chaotic evil	planar	16	136	-1			Mordenkainen's Tome of Foes: 234
Star Spawn Larva Mage	16	Medium	Aberration		chaotic evil	planar	16	168	1			Mordenkainen's Tome of Foes: 235
Star Spawn Mangler	5	Medium	Aberration		chaotic evil	planar	14	71	4			Mordenkainen's Tome of Foes: 236
Star Spawn Seer	13	Medium	Aberration		neutral evil	planar	17	153	1			Mordenkainen's Tome of Foes: 236
Steam Mephit	0.5	Small	Elemental		neutral evil	"dungeon, planar, urban"	10	21	0			"Monster Manual: 217, Princes of the Apocalypse Online Supplement v1.0: 34"
Steel Predator	16	Large	Construct		lawful evil	planar	20	207	3			Mordenkainen's Tome of Foes: 239
Stegosaurus	4	Huge	Beast		unaligned	"forest, grassland"	13	76	-1			"Volo's Guide to Monsters: 140, Tomb of Annihilation: 231"
Stench Kow	0.5	Large	Beast		unaligned	grassland	10	15	0			Volo's Guide to Monsters: 208
Stirge	0.125	Tiny	Beast		unaligned	"forest, swamp"	14	2	3			"Basic Rules v1: 44, HotDQ supplement: 17, Monster Manual: 284"
Stone Cursed	1	Medium	Construct		lawful evil	dungeon	17	19	-3			Mordenkainen's Tome of Foes: 240
Stone Defender	4	Medium	Construct		unaligned	planar	16	52	0			Mordenkainen's Tome of Foes: 126
Stone Giant	7	Huge	Giant		neutral	"cave, mountain, underground"	17	126	2			"HotDQ supplement: 18, Monster Manual: 156"
Stone Giant Dreamwalker	10	Huge	Giant	Stone Giant	chaotic neutral	"coast, grassland, mountain"	18	161	2			Volo's Guide to Monsters: 150
Stone Golem	10	Large	Construct		unaligned	"dungeon, ruins, urban"	17	178	-1			"Basic Rules v1: 45, HotDQ supplement: 18, Monster Manual: 170"
Stone Juggernaut	12	Large	Construct		unaligned		15	157	1			Tomb of Annihilation: 231
Stonemelder	4	Medium	Humanoid	Human	neutral evil	"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, underground"	17	75	0			Princes of the Apocalypse: 197
Storm Giant	13	Huge	Giant		chaotic good	"arctic, coast, desert, mountain, planar"	16	230	2			Monster Manual: 156
Storm Giant Quintessent	16	Huge	Giant	Storm Giant	chaotic good	"arctic, coast, desert, mountain, aquatic"	12	230	2			Volo's Guide to Monsters: 151
Strahd von Zarovich	15	Medium	Undead		lawful evil		16	144	4	legendary	unique	Curse of Strahd: 240
Strahd Zombie	1	Medium	Undead		unaligned		8	30	-2			Curse of Strahd: 241
Strahd's Animated Armor	6	Medium	Construct		lawful evil		21	112	1		unique	Curse of Strahd: 227
Su-monster	1	Medium	Monstrosity		chaotic evil		12	27	2			Tomb of Annihilation: 232
Succubus/Incubus	4	Medium	Fiend	Shapechanger	neutral evil	"dungeon, planar, urban"	15	66	3			Monster Manual: 285
Summer Eladrin	10	Medium	Fey	Elf	chaotic neutral	planar	19	127	5			Mordenkainen's Tome of Foes: 196
Swarm of Bats	0.5	Medium	Beast	Swarm	unaligned	"cave, dungeon, forest, ruins, swamp, underground, urban"	12	22	2			"Basic Rules v1: 45, Monster Manual: 337"
Swarm of Cranium Rats	5	Medium	Beast	Swarm	lawful evil	"underground, urban"	12	36	2			Volo's Guide to Monsters: 133
Swarm of Insects	0.25	Medium	Beast	Swarm	unaligned	"cave, dungeon, forest, grassland, mountain, ruins, swamp, underground, urban"	12	22	1			"Basic Rules v1: 45, HotDQ supplement: 18, Monster Manual: 338"
Swarm of Poisonous Snakes	2	Medium	Beast	Swarm	unaligned	"desert, dungeon, forest, grassland, swamp"	14	36	4			"Basic Rules v1: 46, Monster Manual: 338"
Swarm of Quippers	1	Medium	Beast	Swarm	unaligned	aquatic	13	28	3			"Basic Rules v1: 46, Monster Manual: 338"
Swarm of Rats	0.5	Medium	Beast	Swarm	unaligned	"cave, dungeon, forest, grassland, ruins, swamp, urban"	10	24	0			"Basic Rules v1: 46, HotDQ supplement: 19, Monster Manual: 339"
Swarm of Ravens	0.5	Medium	Beast	Swarm	unaligned	"forest, grassland, mountain, ruins, urban"	12	24	2			"Basic Rules v1: 46, Monster Manual: 339"
Swarm of Rot Grubs	0.25	Medium	Beast	Swarm	unaligned	"swamp, underground"	8	22	-2			Volo's Guide to Monsters: 208
Swashbuckler	3	Medium	Humanoid	Any Race	non-lawful	"coast, urban"	17	66	4			Volo's Guide to Monsters: 217
Sword Wraith Commander	8	Medium	Undead		lawful evil	ruins	18	127	2			Mordenkainen's Tome of Foes: 241
Sword Wraith Warrior	3	Medium	Undead		lawful evil	ruins	16	45	1			Mordenkainen's Tome of Foes: 241
Tabaxi Hunter	1	Medium	Humanoid	Tabaxi	chaotic good		14	40	3			Tomb of Annihilation: 232
Tabaxi Ministrel	0.5	Medium	Humanoid	Tabaxi	chaotic good		12	22	2			Tomb of Annihilation: 233
Talis the White	5	Medium	Humanoid	Half-elf	lawful evil		18	58	1		unique	Hoard of the Dragon Queen: 93
Tanarukk	5	Medium	Fiend	"Demon, Orc"	chaotic evil	"grassland, mountain, underground"	14	95	1			Volo's Guide to Monsters: 186
Tarrasque	30	Gargantuan	Monstrosity	Titan	unaligned	"aquatic, arctic, cave, coast, desert, dungeon, forest, grassland, mountain, planar, ruins, swamp, underground, urban"	25	676	0	legendary		Monster Manual: 286
Tarul Var	13	Medium	Undead		neutral evil		16	105	3		unique	Tales from the Yawning Portal: 244
Tecuziztecatl	4	Large	Monstrosity		neutral		13	102	0		unique	Tales from the Yawning Portal: 245
Thayan Apprentice	2	Medium	Humanoid	Human	non-good		12	27	2			Tales from the Yawning Portal: 245
Thayan Warrior	2	Medium	Humanoid	Human	non-good		16	52	1			Tales from the Yawning Portal: 246
The Angry	13	Medium	Monstrosity		neutral evil	planar	18	255	0			Mordenkainen's Tome of Foes: 231
The Hungry	11	Medium	Monstrosity		neutral evil	planar	17	225	0			Mordenkainen's Tome of Foes: 232
The Lonely	9	Medium	Monstrosity		neutral evil	planar	16	112	1			Mordenkainen's Tome of Foes: 232
The Lost	7	Medium	Monstrosity		neutral evil	planar	15	78	1			Mordenkainen's Tome of Foes: 233
The Pudding King	4	Small	Humanoid	"Gnome, Shapechanger"	chaotic evil		13	49	4		unique	Out of the Abyss: 233
The Wretched	0.5	Small	Monstrosity		neutral evil	planar	15	10	1			Mordenkainen's Tome of Foes: 233
Thorn Slinger	0.25	Large	Plant		unaligned		11	32	1			Tales from the Yawning Portal: 246
Thorny	1	Medium	Plant		neutral	"forest, swamp"	14	27	1			"Volo's Guide to Monsters: 197, Tomb of Annihilation: 233"
Thri-kreen	1	Medium	Humanoid	Thri-kreen	chaotic neutral	"desert, grassland"	15	33	2			Monster Manual: 288
Thug	0.25	Medium	Humanoid	any	non-good	"arctic, cave, coast, forest, grassland, urban"	11	32	0			"Basic Rules v1: 55, Monster Manual: 350"
Thurl Merosska	3	Medium	Humanoid	Human	lawful evil		16	71	2		unique	Princes of the Apocalypse: 192
Tiamat	30	Gargantuan	Fiend		chaotic evil		25	615	0	legendary	unique	Rise of Tiamat: 92
Tiger	1	Large	Beast		unaligned	"forest, grassland"	12	37	2			"Basic Rules v1: 47, Monster Manual: 339, Player's Handbook: 311"
Titivilus	16	Medium	Fiend	Devil	lawful evil	planar	20	127	6	legendary	unique	Mordenkainen's Tome of Foes: 179
Tlincalli	5	Large	Monstrosity		neutral evil	desert	15	85	1			Volo's Guide to Monsters: 193
Topi	0.25	Small	Undead		chaotic evil		13	13	2			The Tortle Package: 22
Tortle	0.5	Medium	Humanoid	Tortle	lawful good	"coast, forest, grassland, mountain, swamp"	17	22	0			Mordenkainen's Tome of Foes: 242
Tortle Druid	2	Medium	Humanoid	Tortle	lawful neutral	"coast, forest, grassland, mountain, swamp"	17	33	0			Mordenkainen's Tome of Foes: 242
Transmuter	5	Medium	Humanoid	Any Race	any	urban	12	40	2			"Volo's Guide to Monsters: 218, Tales from the Yawning Portal: 247"
Trapper	3	Large	Monstrosity		unaligned	underground	13	85	0			Volo's Guide to Monsters: 194
Treant	9	Huge	Plant		chaotic good	"forest, swamp"	16	138	-1			Monster Manual: 289
Tree Blight	7	Huge	Plant		neutral evil		15	149	0			Curse of Strahd: 230
Tressym	0	Tiny	Beast		chaotic neutral		12	5	2			Storm King's Thunder: 242
Tri-flower Frond	0.25	Medium	Plant		unaligned		10	11	2			Tomb of Annihilation: 234
Tribal Warrior	0.125	Medium	Humanoid	any	any	"arctic, cave, desert, forest, grassland, mountain, swamp"	12	11	0			"Monster Manual: 350, Princes of the Apocalypse Online Supplement v1.0: 34"
Triceratops	5	Huge	Beast		unaligned	"grassland, mountain"	13	95	-1			"Basic Rules v1: 47, Monster Manual: 80"
Tridrone	0.25	Medium	Construct		lawful neutral	planar	15	16	1			Monster Manual: 225
Troglodyte	0.5	Medium	Humanoid	Troglodyte	chaotic evil	"cave, dungeon, underground"	11	13	0			"HotDQ supplement: 19, Monster Manual: 290, Princes of the Apocalypse Online Supplement v1.0: 34"
Troglodyte Champion of Laogzed	3	Medium	Humanoid	Troglodyte	chaotic evil		14	59	1			Out of the Abyss: 229
Troll	5	Large	Giant		chaotic evil	"cave, dungeon, forest, mountain, swamp"	15	84	1			"Basic Rules v1: 47, HotDQ supplement: 19, Monster Manual: 291"
Twig Blight	0.125	Small	Plant		neutral evil	"forest, grassland, swamp"	13	4	1			"Basic Rules v1: 47, Monster Manual: 32"
Tyrannosaurus Rex	8	Huge	Beast		unaligned	grassland	13	136	0			"Basic Rules v1: 48, Monster Manual: 80"
Tyrannosaurus Zombie	8	Huge	Undead		unaligned		11	136	-2			Tomb of Annihilation: 241
Ulitharid	9	Large	Aberration		lawful evil	underground	15	127	1			Volo's Guide to Monsters: 175
Ultroloth	13	Medium	Fiend	Yugoloth	neutral evil	"dungeon, planar"	19	153	3			Monster Manual: 314
Umber Hulk	5	Large	Monstrosity		chaotic evil	"cave, underground"	18	93	1			"Monster Manual: 292, Princes of the Apocalypse Online Supplement v1.0: 35"
Unicorn	5	Large	Celestial		lawful good	"forest, ruins"	12	67	2	legendary		Monster Manual: 294
Uthgardt Shaman	2	Medium	Humanoid	Human	neutral evil		13	38	1			Storm King's Thunder: 243
Vampire	13	Medium	Undead	Shapechanger	lawful evil	"dungeon, ruins, urban"	16	144	4	legendary		"HotDQ supplement: 20, Monster Manual: 297"
Vampire Spawn	5	Medium	Undead		neutral evil	"dungeon, ruins, urban"	15	82	3			"HotDQ supplement: 21, Monster Manual: 298, Princes of the Apocalypse Online Supplement v1.0: 35"
Vampire Spellcaster	15	Medium	Undead	Shapechanger	lawful evil	"dungeon, ruins, urban"	16	144	4	legendary		Monster Manual: 298
Vampire Warrior	15	Medium	Undead	Shapechanger	lawful evil	"dungeon, ruins, urban"	18	144	4	legendary		Monster Manual: 298
Vampiric Ixitxachitl	2	Medium	Aberration		chaotic evil		16	44	4			Out of the Abyss: 226
Vampiric Mist	3	Medium	Undead		chaotic evil		13	30	3			Mordenkainen's Tome of Foes: 246
Vampiric Mist	3	Medium	Undead		chaotic evil		13	45	3			Tales from the Yawning Portal: 247
Vanifer	9	Medium	Humanoid	Tiefling	chaotic evil		15	112	3		unique	Princes of the Apocalypse: 203
Vanifer (in lair)	12	Medium	Humanoid	Tiefling	chaotic evil		15	112	3		unique	Princes of the Apocalypse: 203
Vargouille	1	Tiny	Fiend		chaotic evil	"desert, swamp, underground"	12	13	2			Volo's Guide to Monsters: 195
Vegepygmy	0.5	Small	Plant		neutral	"forest, swamp"	13	9	2			"Volo's Guide to Monsters: 196, Tomb of Annihilation: 234"
Vegepygmy Chief	2	Small	Plant		neutral	"forest, swamp"	14	33	2			"Volo's Guide to Monsters: 197, Tomb of Annihilation: 235"
Velociraptor	0.5	Tiny	Beast		unaligned	"forest, grassland"	13	10	2			"Volo's Guide to Monsters: 140, Tomb of Annihilation: 235"
Venom Troll	7	Large	Giant		chaotic evil	"dungeon, forest, mountain, ruins, swamp"	15	94	1			Mordenkainen's Tome of Foes: 245
Veteran	3	Medium	Humanoid	any	any	urban	17	58	1			"HotDQ supplement: 21, Monster Manual: 350, Princes of the Apocalypse Online Supplement v1.0: 35"
Vine Blight	0.25	Medium	Plant		neutral evil	"forest, grassland, swamp"	12	26	-1			Monster Manual: 32
Violet Fungus	0.5	Medium	Plant		unaligned	"cave, dungeon, underground"	5	18	-5			"HotDQ supplement: 21, Monster Manual: 138, Princes of the Apocalypse Online Supplement v1.0: 36"
Vladimir Horngaard	7	Medium	Undead		lawful evil		17	192	2		unique	Curse of Strahd: 241
"Volothamp ""Volo"" Geddarm"	0.5	Medium	Humanoid	Human	chaotic good		11	31	1		unique	Tomb of Annihilation: 235
Vrock	6	Large	Fiend	Demon	chaotic evil	"dungeon, planar"	15	104	2			"Monster Manual: 64, Princes of the Apocalypse Online Supplement v1.0: 36"
Vulture	0	Medium	Beast		unaligned	"desert, grassland, ruins"	10	5	0			"Basic Rules v1: 48, Monster Manual: 339"
War Priest	9	Medium	Humanoid	Any Race	any	"desert, urban"	18	117	0			Volo's Guide to Monsters: 218
Warhorse	0.25	Large	Beast		unaligned	"grassland, urban"	11	19	1			"Basic Rules v1: 48, Monster Manual: 340, Player's Handbook: 311"
Warhorse Skeleton	0.25	Large	Undead		lawful evil	"grassland, ruins"	13	22	1			Monster Manual: 273
Warlock of the Archfey	4	Medium	Humanoid	Any Race	any	"arctic, forest, mountain, swamp, urban"	11	49	1			Volo's Guide to Monsters: 219
Warlock of the Fiend	7	Medium	Humanoid	Any Race	any	"arctic, desert, underground, urban"	12	78	2			Volo's Guide to Monsters: 219
Warlock of the Great Old One	6	Medium	Humanoid	Any Race	any	"arctic, grassland, mountain, underground, urban"	12	91	2			Volo's Guide to Monsters: 220
Warlord	12	Medium	Humanoid	Any Race	any	urban	18	229	3			Volo's Guide to Monsters: 220
Wastrilith	13	Large	Fiend	Demon	chaotic evil	"aquatic, planar"	18	157	4			Mordenkainen's Tome of Foes: 139
Water Elemental	5	Large	Elemental		neutral	"aquatic, arctic, cave, coast, dungeon, forest, grassland, mountain, planar, ruins, swamp, underground"	14	114	2			"Basic Rules v1: 49, Monster Manual: 125"
Water Elemental Myrmidon	7	Medium	Elemental		neutral	"aquatic, arctic, cave, coast, dungeon, forest, grassland, mountain, planar, ruins, swamp, underground"	18	127	2			Princes of the Apocalypse: 213
Water Elemental Myrmidon	7	Medium	Elemental		neutral	"aquatic, planar"	18	127	2			Mordenkainen's Tome of Foes: 203
Water Weird	3	Large	Elemental		neutral	"cave, coast, forest, mountain, planar, swamp, underground"	13	58	3			"Monster Manual: 299, Princes of the Apocalypse Online Supplement v1.0: 36"
Weasel	0	Tiny	Beast		unaligned	grassland	13	1	3			"Basic Rules v1: 49, Monster Manual: 340"
Werebear	5	Medium	Humanoid	"Human, Shapechanger"	neutral good	"cave, forest, mountain, urban"	10	135	0			Monster Manual: 208
Wereboar	4	Medium	Humanoid	"Human, Shapechanger"	neutral evil	"forest, grassland, swamp, urban"	10	78	0			"Monster Manual: 209, Princes of the Apocalypse Online Supplement v1.0: 37"
Wererat	2	Medium	Humanoid	"Human, Shapechanger"	lawful evil	"cave, dungeon, ruins, swamp, underground, urban"	12	33	2			Monster Manual: 209
Wereraven	2	Medium	Humanoid	"Human, Shapechanger"	lawful good		12	31	2			Curse of Strahd: 242
Weretiger	4	Medium	Humanoid	"Human, Shapechanger"	neutral	"forest, urban"	12	120	2			Monster Manual: 210
Werewolf	3	Medium	Humanoid	"Human, Shapechanger"	chaotic evil	"dungeon, forest, grassland, urban"	11	58	1			"Basic Rules v1: 49, Monster Manual: 211"
White Abishai	6	Medium	Fiend	Devil	lawful evil	planar	15	68	0			Mordenkainen's Tome of Foes: 163
White Dragon Wyrmling	2	Medium	Dragon		chaotic evil	"arctic, cave, underground"	16	32	0			Monster Manual: 102
White Maw	10	Gargantuan	Ooze		chaotic neutral		5	217	-5		unique	Tales from the Yawning Portal: 248
Wiggan Nettlebee	2	Medium	Humanoid	Halfling	neutral evil		11	36	1		unique	Princes of the Apocalypse: 212
Wight	3	Medium	Undead		neutral evil	"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, swamp, underground, urban"	14	45	2			"Basic Rules v1: 50, Monster Manual: 300"
Will-o'-Wisp	2	Tiny	Undead		chaotic evil	swamp	19	22	9			"HotDQ supplement: 22, Monster Manual: 301, Princes of the Apocalypse Online Supplement v1.0: 37"
Windharrow	3	Medium	Humanoid	Half-elf	neutral evil		15	55	3		unique	Princes of the Apocalypse: 192
Winged Kobold	0.5	Small	Humanoid	Kobold	lawful evil	"mountain, underground"	13	7	3			"HotDQ supplement: 23, Monster Manual: 195"
Winter Eladrin	10	Medium	Fey	Elf	chaotic neutral	planar	19	127	0			Mordenkainen's Tome of Foes: 197
Winter Wolf	3	Large	Monstrosity		neutral evil	"arctic, cave, forest, grassland"	13	75	1			"Basic Rules v1: 50, Monster Manual: 340"
Wolf	0.5	Medium	Beast		unaligned	"arctic, cave, forest, grassland"	13	11	2			"Basic Rules v1: 50, Monster Manual: 341, Player's Handbook: 311"
Wood Woad	5	Medium	Plant		lawful neutral	forest	18	75	1			Volo's Guide to Monsters: 198
Worg	0.25	Large	Monstrosity		neutral evil	"arctic, cave, forest, grassland"	13	26	1			"Basic Rules v1: 51, Monster Manual: 341"
Wraith	5	Medium	Undead		neutral evil	"dungeon, ruins, swamp, urban"	13	67	3			Monster Manual: 302
Wyvern	6	Large	Dragon		unaligned	"arctic, coast, grassland"	13	110	0			"Basic Rules v1: 51, HotDQ supplement: 23, Monster Manual: 303"
Xandala	7	Medium	Humanoid	Half-elf	neutral evil		13	71	0		unique	Tomb of Annihilation: 236
Xorn	5	Medium	Elemental		neutral	"dungeon, planar, underground"	19	73	0			"Monster Manual: 304, Princes of the Apocalypse Online Supplement v1.0: 38"
Xvart	0.125	Small	Humanoid	Xvart	chaotic evil	"grassland, underground"	13	7	2			Volo's Guide to Monsters: 200
Xvart Speaker	0.125	Small	Humanoid	Xvart	chaotic evil	"grassland, underground"	13	7	2			Volo's Guide to Monsters: 200
Xvart Warlock of Raxivort	1	Small	Humanoid	Xvart	chaotic evil	"grassland, underground"	12	22	2			Volo's Guide to Monsters: 200
Yagnoloth	11	Large	Fiend	Yugoloth	neutral evil	planar	17	147	2			Mordenkainen's Tome of Foes: 252
Yakfolk Priest	4	Large	Monstrosity		neutral evil		12	52	0			Storm King's Thunder: 245
Yakfolk Warrior	3	Large	Monstrosity		neutral evil		11	60	0			Storm King's Thunder: 244
Yan-C-Bin	18	Huge	Elemental		neutral evil		22	283	7	legendary	unique	Princes of the Apocalypse: 221
